scenario,algorithm,optimizer,time_sec,best_params,accuracy_cv_mean,precision_cv_mean,recall_cv_mean,f1_cv_mean,roc_auc_cv_mean,kappa_cv_mean,accuracy_cv_std,precision_cv_std,recall_cv_std,f1_cv_std,roc_auc_cv_std,kappa_cv_std,accuracy_test,precision_test,recall_test,f1_test,roc_auc_test,kappa_test
normal,rf,grid,5.263286113739014,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.8464285714285713,0.8370096969102413,0.8607142857142858,0.8482546157678064,0.9228156887755103,0.6928571428571428,0.016120955433274832,0.01224568743552566,0.036856727572411235,0.018544702918761934,0.009783540547962905,0.032241910866549636,0.74,0.8235294117647058,0.8,0.8115942028985508,0.7872619047619048,0.39252336448598124
normal,rf,random,8.857356548309326,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 237}",0.8491071428571428,0.8343942517752112,0.8714285714285713,0.8522264545087974,0.9254464285714284,0.6982142857142857,0.018600595228571132,0.01759502661923512,0.031237242293814093,0.019523281879157455,0.009300953588820382,0.03720119045714224,0.745,0.7986577181208053,0.85,0.8235294117647058,0.7942857142857143,0.36567164179104483
normal,rf,bayes,54.98420834541321,"OrderedDict([('max_depth', 15), ('min_samples_split', 3), ('n_estimators', 200)])",0.8517857142857143,0.8342424145198969,0.8785714285714287,0.8555358804586437,0.9275829081632653,0.7035714285714286,0.012752550765255095,0.01463811350643894,0.026244532958391197,0.01348910054739708,0.008891281687828914,0.025505101530510173,0.725,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.7851190476190476,0.3292682926829268
normal,rf,genetic,154.13237619400024,"{'n_estimators': 282, 'max_depth': None, 'min_samples_split': 4}",0.8571428571428573,0.8390736572756852,0.8839285714285714,0.8607298932520895,0.9283003826530611,0.7142857142857144,0.014117310982894548,0.0118408012981666,0.0258774584753383,0.015051058924712361,0.007904304934351345,0.028234621965789096,0.725,0.785234899328859,0.8357142857142857,0.8096885813148789,0.7854761904761904,0.3159203980099503
normal,knn,grid,0.11737298965454102,"{'n_neighbors': 5, 'weights': 'distance'}",0.7839285714285714,0.9255758863814668,0.6178571428571429,0.7392276258978964,0.8898198341836734,0.5678571428571428,0.029827309086589406,0.026059760454312565,0.06066174196951084,0.04652350258412783,0.01988188425136425,0.059654618173178776,0.62,0.8076923076923077,0.6,0.6885245901639344,0.7125595238095238,0.22764227642276424
normal,knn,random,0.3192892074584961,"{'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",0.8071428571428572,0.8452524639884912,0.7553571428571428,0.7958138042774345,0.8981026785714287,0.6142857142857142,0.022481568414311003,0.03654995347847473,0.05607256595752706,0.02821915994708845,0.028702495887193542,0.04496313682862205,0.7,0.8225806451612904,0.7285714285714285,0.7727272727272727,0.7553571428571428,0.33628318584070804
normal,knn,bayes,9.816784620285034,"OrderedDict([('n_neighbors', 4), ('p', 1), ('weights', 'distance')])",0.8464285714285715,0.8900640211079931,0.7910714285714286,0.8375613510550991,0.9217235331632653,0.6928571428571428,0.017081362919383003,0.02673926850631694,0.010714285714285728,0.01690620155783302,0.012419768923991251,0.03416272583876604,0.67,0.7569444444444444,0.7785714285714286,0.7676056338028169,0.6663095238095238,0.19902912621359226
normal,knn,genetic,5.77518630027771,"{'n_neighbors': 4, 'weights': 'distance', 'p': 1}",0.8464285714285715,0.8900640211079931,0.7910714285714286,0.8375613510550991,0.9217235331632653,0.6928571428571428,0.017081362919383003,0.02673926850631694,0.010714285714285728,0.01690620155783302,0.012419768923991251,0.03416272583876604,0.67,0.7569444444444444,0.7785714285714286,0.7676056338028169,0.6663095238095238,0.19902912621359226
normal,svm,grid,5.0724194049835205,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.85625,0.8866750580084529,0.8178571428571428,0.8504278129545548,0.9350286989795918,0.7125,0.01838505382319109,0.026678352699017145,0.028571428571428567,0.019668921296091588,0.013822247605750916,0.036770107646382146,0.7,0.7898550724637681,0.7785714285714286,0.7841726618705036,0.7413095238095239,0.2924528301886792
normal,svm,random,7.492665529251099,"{'C': np.float64(4.419450186421157), 'gamma': 'scale', 'kernel': 'rbf'}",0.8553571428571429,0.8819938534393981,0.8214285714285715,0.8501530685221544,0.9335299744897959,0.7107142857142857,0.016608102890837768,0.024341038747145,0.029342279866348162,0.018125201251535755,0.013851311871253042,0.033216205781675494,0.695,0.7801418439716312,0.7857142857142857,0.7829181494661922,0.7444047619047618,0.270334928229665
normal,svm,bayes,20.956352710723877,"OrderedDict([('C', 10.0), ('gamma', 'scale'), ('kernel', 'rbf')])",0.8589285714285715,0.8967271707183342,0.8125,0.8520238060475751,0.9414859693877551,0.7178571428571429,0.01342258605211867,0.02572411772894266,0.02461437277158969,0.014119920684873888,0.014538508476897433,0.026845172104237338,0.715,0.7902097902097902,0.8071428571428572,0.7985865724381626,0.722857142857143,0.31159420289855067
normal,svm,genetic,75.77791237831116,"{'C': np.float64(9.542163751882395), 'gamma': 'scale', 'kernel': 'rbf'}",0.8589285714285715,0.8952063569853326,0.8142857142857143,0.8523226240657433,0.9412308673469388,0.7178571428571429,0.013122266479195602,0.026188865680568166,0.02355518921120164,0.013596672388762254,0.014597697441390502,0.026244532958391204,0.715,0.7902097902097902,0.8071428571428572,0.7985865724381626,0.7245238095238095,0.31159420289855067
